,cV,eV
0,50,0.14766412687413924
1,100,0.1198323519498965
2,150,0.10593633300611331
3,200,0.08316327806420301
4,250,0.07732532402930196
5,300,0.04612805472044128
6,350,0.044971547289441166
7,400,0.03546231013539899
8,450,0.054926165371196156
9,500,0.045999297970525085
10,550,0.04082263915135943
11,600,0.04066750678257722
12,650,0.03243678580287694
13,700,0.042676118472476716
14,750,0.032370058487917484
15,800,0.03060542237341814
16,850,0.027943325925598762
17,900,0.03707222437355987
18,950,0.030929118221615988
